priority,name,scope,contracts,website,status,verdict,reason
96,Arreta Care Limited,Local,1,http://www.arretacare.co.uk/,pending,,
97,Autonomy Healthcare Limited,Local,1,https://autonomyhealthcare.co.uk/phone/index.html,pending,,
98,Auxilio Care Ltd,Local,1,http://auxiliocare.com/,pending,,
99,BIG Healthcare,Local,1,http://www.bighealthcare.com/,pending,,
100,Back to Back Care Ltd,Local,1,https://www.backtobackcare.co.uk/,pending,,
101,Balm Care Services Ltd,Local,1,http://balmcareservices.com/,pending,,
102,Barchester Health Care,Local,1,https://www.barchester.com/home/lindum-house-care-home?utm_source=gmb&utm_medium=organic&utm_campaign=local,pending,,
103,Benedon Healthcare Limited,Local,1,http://www.benedonhealthcare.com/,pending,,
104,Bosun Care Limited,Local,1,https://www.bosuncare.co.uk/,pending,,
105,Bridge Care Solutions,Local,1,https://www.bridgecaresolutions.co.uk/,pending,,
106,Bright Stars Care Limited,Local,1,http://www.brightstarcareservice.co.uk/,pending,,
107,Bristol Family Care Ltd,Local,1,https://bristolfamilycare.co.uk,pending,,
108,Care4life Healthcare Service,Local,1,https://www.care4lifehealthcare.co.uk/,pending,,
109,Caritas Care Ltd,Local,1,http://www.caritascaresolutions.uk/,pending,,
110,Continuum Support - Care Services Ltd,Local,1,http://thecontinuumgroup.org/,pending,,
111,Craegmoor Supporting You Ltd (Priory Adult Care Group),Local,1,https://www.priorygroup.com/locations/residential/gateholme?utm_source=google_my_business&utm_medium=organic&utm_campaign=residential&utm_content=priory-gateholme,pending,,
112,Crystal Care Solutions Ltd,Local,1,https://crystalcaresolutions.co.uk/,pending,,
113,Cygnet Health Care PLC (CQC Registered Non Enhanced and Enhanced,Local,1,https://www.cygnetgroup.com/locations/cygnet-hospital-hexham/,pending,,
114,DCI Care ltd,Local,1,https://dcicare.co.uk/,pending,,
115,Daisy Healthcare,Local,1,https://thedaisyfoundation.com/teacher/gayna-deas/,pending,,
116,Dean House Care Ltd,Local,1,https://deanhouseresidential.co.uk/,pending,,
117,Diagrama Healthcare Services Ltd,Local,1,https://diagramafoundation.org.uk/senior-dementia-care/edensorcarehomeclacton,pending,,
118,Dynamic Care ltd,Local,1,https://dynamiccareservices.com/,pending,,
119,Eden Care Ltd,Local,1,https://edencareservicesltd.co.uk/contact/,pending,,
120,Eden Holme Care Ltd,Local,1,https://www.langdalecarehomes.co.uk/,pending,,
121,Exemplar Health Care Ltd,Local,1,https://www.exemplarhc.com/,pending,,
122,Fdr Social Care Ltd,Local,1,http://fdr-services.co.uk/,pending,,
123,Forevermore Care Group,Local,1,http://www.forevermorecare.com/,pending,,
124,Freshstart Care Solutions Ltd,Local,1,https://www.freshstartcaresolutions.com/,pending,,
